brand,model,year,price
Chevrolet,Silverado 3500,2005,12719.19
Chevrolet,Express 3500,2007,30776.01
Hummer,H1,2000,54640.92
Mazda,626,1986,24643.74
Hyundai,Azera,2009,19301.39
BMW,Z3,2000,62796.77
Lincoln,Town Car,1986,23297.18
Chevrolet,Camaro,1997,25050.62
Mercedes-Benz,CL-Class,2012,27111.08
Plymouth,Breeze,1996,55496.52
Cadillac,Escalade ESV,2012,11511.57
Mitsubishi,Truck,1987,25379.91
Ford,Crown Victoria,1993,47801.44
Maserati,430,1991,12764.75
Kia,Sportage,2008,42024.92
Ford,ZX2,2003,45011.20
Honda,Prelude,2001,17598.23
Mazda,MPV,2001,19603.62
Porsche,928,1995,57446.46
Mitsubishi,Mirage,1986,41986.78
Toyota,Echo,2005,46725.48
Oldsmobile,Bravada,1994,47287.42
Spyker,C8,2006,10752.11
Volkswagen,Phaeton,2005,50185.31
Maybach,Landaulet,2010,49037.27
Dodge,Caravan,2009,13483.15
Mazda,Mazda3,2006,13929.83
Mitsubishi,Galant,1996,17962.03
Mitsubishi,Montero,2003,57894.91
Honda,S2000,2009,14557.70
Audi,A4,2005,14655.45
Saab,9-7X,2007,15196.26
Chevrolet,Sportvan G10,1992,41831.65
Cadillac,Seville,1993,21831.97
Volkswagen,Passat,1998,38761.08
GMC,3500,1995,63455.37
Audi,TT,2011,21778.79
Toyota,Highlander,2001,14457.28
Maserati,Spyder,2003,62057.81
Mitsubishi,Montero Sport,2002,14307.21
Ford,LTD Crown Victoria,1984,54160.82
Nissan,Frontier,2005,53630.54
Porsche,911,1988,27956.63
Mercedes-Benz,SL-Class,2012,31640.08
Chevrolet,Aveo,2008,10400.59
Lincoln,Mark VIII,1994,23772.70
Dodge,Ram,2009,63444.70
Buick,Lucerne,2009,21600.51
GMC,2500,1999,50692.50
Pontiac,Chevette,1987,54669.24